"","coordinates_lat","coordinates_lon","date","zipCode"
"273",55.39017,11.935465,1998-06-19,4100
"274",55.74873,12.563431,2018-06-27,2920
"275",56.120193,10.130071,2011-08-17,8260
"276",55.81154,12.044593,1999-06-26,3630
"277",56.21447,9.516841,2015-05-13,8600
"278",55.820087,12.481347,1995-01-01,2840
"279",54.81383,12.07618,2006-08-29,4871
"280",55.650578,12.216361,1994-12-30,2640
"281",57.34673,10.468107,2014-04-10,9300
"282",57.333523,10.52026,2007-02-20,9300
"283",55.747818,12.468898,1995-06-01,2860
"284",55.958225,12.439981,2009-08-02,3480
"285",55.417233,10.271338,2021-07-29,5210
"286",55.86081,9.858103,2023-11-23,8700
"287",55.79855,12.45341,2011-11-11,2830
"288",55.787605,12.593759,2014-10-23,2930
"289",55.885334,12.196863,2000-12-29,3330
"290",55.32234,11.627736,2005-01-09,4250
"291",56.54642,8.29684,1994-09-07,7620
"292",55.746273,12.4543705,1997-07-07,2880
"293",57.480045,10.368828,2019-11-18,9870
"294",55.710213,12.566829,2004-12-21,2100
"295",55.895454,9.850141,2014-01-06,8700
"296",55.86819,9.847775,1994-11-02,8700
"297",54.90492,9.374133,2020-01-06,6330
"298",55.77923,12.382308,1994-07-28,3500
"299",55.12125,9.06711,2021-03-11,6535
"300",57.05889,9.917202,2015-12-01,9400
"301",55.095757,14.866954,2020-06-29,3720
"302",55.76493,9.70683,1993-08-12,8722
"303",56.423843,10.8808775,2013-12-21,8500
"304",56.223915,9.588732,2001-08-10,8632
"305",55.37177,10.396525,2013-05-17,5230
"306",57.123276,9.864161,2012-08-17,9430
"307",55.74177,12.494442,2020-06-23,2860
"308",55.851124,12.4338665,1994-10-06,3460
"309",55.217793,11.754177,2000-08-18,4700
"310",56.243008,9.544996,2004-08-16,8632
"311",55.484386,10.253705,2006-11-07,5471
"312",55.7633,12.457415,2022-09-28,2880
"313",55.47601,9.499345,2007-09-27,6000
"314",56.946228,8.381725,2024-02-29,7700
"315",55.667206,12.392065,1998-11-13,2600
"316",55.020218,8.841107,1999-03-03,6270
"317",55.71339,9.513474,2006-05-30,7100
"318",55.83409,12.074832,1998-06-09,3600
"319",55.81427,12.119019,2020-04-26,3600
"320",55.617447,12.571409,2011-06-16,2300
"321",54.91401,9.945323,1998-10-03,6470
"322",55.691277,12.490023,1992-09-03,2720
"323",55.04532,12.110806,2022-09-26,4735
"324",55.88538,12.490906,2000-07-10,2970
"325",55.002792,9.037646,2006-03-09,6240
"326",55.21708,10.122281,2002-11-08,5683
"327",55.671894,11.771293,2015-05-17,4390
"328",56.187714,9.602828,2024-07-21,8600
"329",55.775948,12.163382,1993-08-09,3650
"330",55.624958,8.485213,1996-07-08,6800
"331",55.713936,12.569427,2021-03-25,2100
"332",54.90982,9.89094,2011-11-22,6470
"333",55.696053,12.544256,2019-12-16,2200
"334",55.760212,12.455265,2019-08-25,2880
"335",55.79669,12.535831,2014-04-08,2800
"336",55.2273,11.767565,1996-04-09,4700
"337",55.64443,12.292247,2005-10-23,2630
"338",56.45912,10.040565,2016-06-21,8900
"339",55.586617,12.32705,1992-06-21,2670
"340",56.679604,8.369229,2024-04-15,7760
"341",56.262165,8.661147,2004-06-08,7550
"342",55.89312,9.261674,2010-07-09,7323
"343",55.450203,8.404144,1996-03-21,6720
"344",56.493893,9.471006,2006-12-19,8830
"345",57.118168,8.618162,2021-01-21,7730
"346",55.697403,9.555134,1992-03-30,7100
"347",54.902725,9.754101,2019-10-01,6400
"348",55.760212,12.455265,1997-06-17,2880
"349",55.684376,12.492859,2005-02-24,2720
"350",55.345234,11.126097,2019-03-25,4220
"351",55.853333,9.705477,2019-10-01,8700
"352",55.42535,8.388583,2006-07-10,6720
"353",55.700554,12.589914,1992-09-23,2100
"354",57.34005,10.242419,1995-08-10,9750
"355",56.435234,10.384691,2005-10-20,8963
"356",55.05469,11.830523,1999-04-09,4760
"357",55.66281,12.607211,1992-01-04,2300
"358",54.690105,11.623793,1992-12-19,4894
"359",57.330566,10.52104,1997-07-18,9300
"360",56.547283,8.324039,2003-07-03,7620
"361",55.953312,12.273443,2022-02-28,3400
"362",55.577137,9.764558,2007-03-28,7000
"363",55.681026,12.478145,1999-10-21,2720
"364",56.019054,12.506707,2017-09-25,3490
"365",56.415173,10.879229,2009-08-07,8500
"366",55.69429,12.533811,1996-06-28,2000
"367",56.635414,9.876169,2009-03-25,9500
"368",55.658623,12.612699,2008-02-24,2300
"369",57.010426,9.978291,2016-05-30,9260
"370",57.446033,10.527058,1999-07-14,9900
"371",56.05286,10.238254,2003-08-27,8330
"372",57.098495,9.52884,2021-05-07,9460
"373",55.706177,12.587775,1997-03-07,2100
"374",54.854298,10.518658,1993-02-19,5960
"375",55.700466,12.585217,2010-09-03,2100
