nr,longitude,latitude
4930,11.49815546,54.76659931
4941,11.49059609,54.83767284
4942,11.5111678,54.89908661
4943,11.36808859,55.05662783
4944,11.4069268,54.95857211
4945,11.56847203,54.9844243
4951,11.4281128,54.81506841
4952,11.37909951,54.84533107
4953,11.28637518,54.863378
4960,11.53543477,54.70172856
4970,11.57693074,54.53635729
4983,11.17254811,54.71726169
4990,11.63568865,54.8143415
5000,10.39174411,55.403021
5200,10.32843174,55.39401435
5210,10.30695242,55.41754658
5220,10.49825565,55.34929575
5230,10.4114235,55.37859541
5240,10.44332209,55.42123207
5250,10.29791607,55.35251254
5260,10.39917484,55.34939755
5270,10.35714765,55.44966319
5290,10.53251585,55.396433
5300,10.8508032,55.49807432
5320,10.48909454,55.43442698
5330,10.53070411,55.46833207
5350,10.62525952,55.40654304
5370,10.64470255,55.48986232
5380,10.7017613,55.51715531
5390,10.65770823,55.61575822
5400,10.15483531,55.6129967
5450,10.41038685,55.56662852
5462,10.19234031,55.43415758
5463,10.02916475,55.45477943
5464,9.98162512,55.49127877
5466,9.90219075,55.50180178
5471,10.08371535,55.48691259
5474,10.14425746,55.46255574
5485,10.26859858,55.51969426
5491,10.22531693,55.38883518
5492,10.13229762,55.39228422
5500,9.78489314,55.48934885
5540,10.67264084,55.38540272
5550,10.58946818,55.36672658
5560,10.03851749,55.37369367
5580,9.77417672,55.41549178
5591,9.96614107,55.39954114
5592,9.82415972,55.36518649
5600,10.30952407,55.11203154
5601,10.1289297,55.02895047
5602,10.2827681,55.00930386
5603,10.25360285,55.06201633
5610,9.8932785,55.29165859
5620,10.10343663,55.27213799
5631,9.96382534,55.13177189
5642,10.12933606,55.15062316
5672,10.25211529,55.24506199
5683,10.07032627,55.18924968
5690,10.19834407,55.3195544
5700,10.59802878,55.01443666
5750,10.42313811,55.2209888
5762,10.45011017,55.06342876
5771,10.52352287,55.12556284
5772,10.54250568,55.18424637
5792,10.3936597,55.2906707
5800,10.79790443,55.35301317
5853,10.63473931,55.2661035
5854,10.60886979,55.2122797
5856,10.54368086,55.23725238
5863,10.58601195,55.31045491
5871,10.81307692,55.23864739
5874,10.79995852,55.17539817
5881,10.76263715,55.06735111
5882,10.79980106,55.09510217
